id,Spruce_x,Sliver Fir_x,Douglas Fir_x,Pine_x,Oak_x,Beech_x,Sycamore_x,Ash_x,sum,Spruce_y,Sliver Fir_y,Douglas Fir_y,Pine_y,Oak_y,Beech_y,Sycamore_y,Ash_y,Others
332455.0,True,True,True,True,True,True,True,True,8,0.2,0.5,0.0,0.2,0.0,0.1,0.0,0.0,0.0
378089.0,True,True,True,True,True,True,True,True,8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
272659.0,True,True,True,True,True,True,True,True,8,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
283661.0,True,True,True,True,True,True,True,True,8,0.5,0.4,0.0,0.0,0.0,0.1,0.0,0.0,0.0
251272.0,True,True,True,True,True,True,True,True,8,0.1,0.0,0.0,0.0,0.0,0.3,0.35,0.25,0.0
122187.0,True,True,True,True,True,True,True,True,8,0.1,0.3,0.0,0.6,0.0,0.0,0.0,0.0,0.0
130277.0,True,True,True,True,True,True,True,True,8,0.1,0.0,0.0,0.0,0.0,0.1,0.4,0.4,0.0
150426.0,True,True,True,True,True,True,True,True,8,0.95,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0
372235.0,True,True,True,True,True,True,True,True,8,0.15,0.0,0.0,0.0,0.0,0.7,0.05,0.1,0.0
279993.0,True,True,True,True,True,True,True,True,8,0.45,0.3,0.0,0.25,0.0,0.0,0.0,0.0,0.0
12287.0,True,True,True,True,True,True,True,True,8,0.65,0.1,0.15,0.0,0.0,0.1,0.0,0.0,0.0
379864.0,True,True,True,True,True,True,True,True,8,0.2,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0
287833.0,True,True,True,True,True,True,True,True,8,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
345392.0,True,True,True,True,True,True,True,True,8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
197190.0,True,True,True,True,True,True,True,True,8,0.25,0.0,0.7,0.0,0.0,0.05,0.0,0.0,0.0
170758.0,True,True,True,True,True,True,True,True,8,0.45,0.35,0.0,0.1,0.0,0.1,0.0,0.0,0.0
18201.0,True,True,True,True,True,True,True,True,8,0.2,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0
164280.0,True,True,True,True,True,True,True,True,8,0.6,0.3,0.0,0.0,0.0,0.1,0.0,0.0,0.0
390052.0,True,True,True,True,True,True,True,True,8,0.0,0.0,0.0,0.0,0.15,0.15,0.15,0.55,0.0
356094.0,True,True,True,True,True,True,True,True,8,0.45,0.35,0.0,0.2,0.0,0.0,0.0,0.0,0.0
214693.0,True,True,True,True,True,True,True,True,8,0.95,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0
319280.0,True,True,True,True,True,True,True,True,8,0.8,0.15,0.0,0.0,0.0,0.05,0.0,0.0,0.0
